No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed,,,,,,,,,,,,,
2489,CALF Turnkey,Waterford,"Mount Neil, Carrickphierish, Gracedieu, Co. Waterford (Phase 1)",26,Circle Voluntary Housing Association Ltd,,,,,,Q4-2021,,,,,,,,,,,,,
2490,CALF Turnkey,Waterford,"Mount Neil, Carrickphierish, Gracedieu, Co. Waterford (Phase 2)",31,Circle Voluntary Housing Association Ltd,,,,,Q3-2019,,,,,,,,,,,,,,
2491,CALF Construction,Waterford,"St Johns College, Waterford (Phase 1)",36,Respond,,,,,,Q1-2016,,,,,,,,,,,,,
2492,CALF Turnkey,Waterford,"The Walk, Fairfield Park, Kilcohan, Waterford (Phase 1)",40,Circle Voluntary Housing Association Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
2493,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Waterford,"Slievekeale, Waterford City (Phase 1)",24,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2494,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Waterford,"Slievekeale, Waterford City (Phase 2)",34,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
2495,SHIP DIALOG,Westmeath,"Lissywollen, Athlone",55,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2496,SHIP DIALOG,Westmeath,"Lissywollen, Athlone",55,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2497,SHIP DIALOG,Westmeath,"Lissywollen, Athlone",38,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2498,SHIP DIALOG,Westmeath,"Lissywollen, Athlone",22,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2499,SHIP CONSTRUCTION TURNKEY,Westmeath,"Belvedere Hills, Mullingar",21,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
2500,SHIP CONSTRUCTION TURNKEY,Westmeath,"Cloon Lara, Mullingar",12,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
2501,SHIP CONSTRUCTION TURNKEY,Westmeath,"Abbeybrook, Kilbeggan",7,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
2502,SHIP CONSTRUCTION TURNKEY,Westmeath,"Coill Rua, Mullingar",6,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2503,SHIP CONSTRUCTION TURNKEY,Westmeath,"Rathgarve Green, Castlepollard",3,*N/A,,,,,,Q1-2020,,,,,,,,,,,,,
2504,SHIP CONSTRUCTION TURNKEY,Westmeath,"Austin Friars Street, Mullingar",4,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
2505,SHIP CONSTRUCTION TURNKEY,Westmeath,"Rathgarve Green, Castlepollard",5,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
2506,SHIP CONSTRUCTION TURNKEY,Westmeath,"Oakcrest, Ballinderry, Mullingar",8,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
2507,SHIP CONSTRUCTION TURNKEY,Westmeath,"St. Marys Place, Athlone",9,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
2508,SHIP CONSTRUCTION TURNKEY,Westmeath,"Rathgarve Green, Castlepollard",1,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2509,SHIP CONSTRUCTION TURNKEY,Westmeath,"Bellaugh, Athlone",17,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2510,SHIP CONSTRUCTION TURNKEY,Westmeath,"The Cedars, Lakepoint, Mullingar",7,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
2511,SHIP CONSTRUCTION TURNKEY,Westmeath,"The Cedars, Lakepoint, Mullingar",10,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
2512,SHIP CONSTRUCTION TURNKEY,Westmeath,"The Cedars, Lakepoint, Mullingar",11,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
2513,SHIP CONSTRUCTION TURNKEY,Westmeath,"Athboy Rd, Delvin",6,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2514,SHIP CONSTRUCTION TURNKEY,Westmeath,"Kileenboylegan, Moate",6,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2515,SHIP CONSTRUCTION RAPID,Westmeath,"O'Growney Green, Mullingar",22,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2516,SHIP CONSTRUCTION RAPID,Westmeath,"Dalton Park, Mullingar",17,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2517,SHIP CONSTRUCTION RAPID,Westmeath,"Water Street, Castlepollard",8,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2518,SHIP CONSTRUCTION RAPID,Westmeath,"Ennell Court, Mullingar (Phase 1)",15,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2519,SHIP CONSTRUCTION,Westmeath,"Bun Daire, Kinnegad (Phase 3)",8,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2520,SHIP CONSTRUCTION,Westmeath,"St. Laurence's Terrace, Mullingar",9,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2521,SHIP CONSTRUCTION,Westmeath,"Ennell Court, Mullingar",1,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
2522,SHIP CONSTRUCTION,Westmeath,"Arcadia, Athlone",21,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
2523,SHIP CONSTRUCTION,Westmeath,Ennell Court (Phase 2),3,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
2524,SHIP CONSTRUCTION,Westmeath,"Grange Crescent, Mullingar",2,*N/A,,,,,,Q1-2016,,,,,,,,,,,,,
2525,SHIP CONSTRUCTION,Westmeath,"Ennell Court, Mullingar",31,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
2526,SHIP CONSTRUCTION,Westmeath,"Quinlan Park, Athlone",10,*N/A,,,,,Q4-2021,,,,,,,,,,,,,,
2527,SHIP CONSTRUCTION,Westmeath,"Bishopsgate, Mullingar",2,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2528,SHIP CONSTRUCTION,Westmeath,"Arcadia, Athlone (Phase 2)",24,*N/A,,"Stage 2 approved Q3-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2529,SHIP CONSTRUCTION,Westmeath,"Canal Avenue, Mullingar",32,*N/A,,"Stage 2 approved Q4-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2530,SHIP CONSTRUCTION,Westmeath,"Arcadia, Athlone",12,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
2531,SHIP CONSTRUCTION,Westmeath,"Bun Daire, Kinnegad (Phase 3)",4,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
2532,SHIP CONSTRUCTION,Westmeath,"Bishopsgate, Mullingar",2,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2533,SHIP CONSTRUCTION,Westmeath,"Kilmacaugh Rd, Athlone",1,N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2534,SHIP CONSTRUCTION,Westmeath,"Cornamaddy, Athlone",108,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2535,SHIP CONSTRUCTION,Westmeath,"Water Street, Castlepollard ",1,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2536,CAS CONSTRUCTION TURNKEY,Westmeath,"Elm Row, Royal Canal, Mullingar",10,Túath Housing Association Ltd,,,,,,Q1-2021,,,,,,,,,,,,,
2537,CAS CONSTRUCTION TURNKEY,Westmeath,"Elm Row, Royal Canal, Mullingar",17,Túath Housing Association Ltd,,,,,Q4-2019,,,,,,,,,,,,,,
2538,CAS CONSTRUCTION TURNKEY,Westmeath,"Elm Row, Royal Canal, Mullingar",9,Túath Housing Association Ltd,,,,,Q4-2019,,,,,,,,,,,,,,
2539,CAS CONSTRUCTION,Westmeath,"Farran, Mullingar",4,Túath Housing Association Ltd,,,,,,Q3-2021,,,,,,,,,,,,,
2540,CALF Turnkey,Westmeath,"Ashe Road, Mullingar, Co. Westmeath (Phase 1)*",18,Clúid Housing,,,,Q2-2021,,,,,,,,,,,,,,,
2541,CALF Turnkey,Westmeath,"Athlone Road, Moate, Co. Westmeath (Phase 1)*",14,Oaklee Housing,,,,,,Q2-2021,,,,,,,,,,,,,
2542,CALF Turnkey,Westmeath,"Bower Hill, Lower Road, Athlone, Co. Westmeath (Phase 1)*",15,Clúid Housing,,,,Q3-2021,,,,,,,,,,,,,,,
2543,CALF Turnkey,Westmeath,"Charlestown, Mullingar (Phase 1)*",37,Respond,,,,,Q4-2021,,,,,,,,,,,,,,
2544,CALF Turnkey,Westmeath,"Charlestown, Mullingar (Phase 2)*",62,Respond,,,,,Q4-2021,,,,,,,,,,,,,,
2545,CALF Turnkey,Westmeath,"Cluain Mullen, Castlepollard, Co. Westmeath (Phase 1)",8,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
2546,CALF Turnkey,Westmeath,"Cluain Mullen, Castlepollard, Westmeath (Phase 1)",2,Tuath Housing Association,,,,,,Q2-2017,,,,,,,,,,,,,
2547,CALF Turnkey,Westmeath,"Coill Rua, Mullingar, Co. Westmeath (Phase 1)*",13,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
2548,CALF Turnkey,Westmeath,"Coill Rua, Mullingar, Co. Westmeath (Phase 2)*",23,Clúid Housing,,,,,,Q1-2021,,,,,,,,,,,,,
2549,CALF Turnkey,Westmeath,"Coill Rua, Mullingar, Co. Westmeath (Phase 3)",8,Clúid Housing,,,,,,Q2-2021,,,,,,,,,,,,,
2550,CALF Construction,Westmeath,"Farran, Mullingar, Co. Westmeath (Phase 1)",10,Tuath Housing Association,,,,,,Q3-2021,,,,,,,,,,,,,
2551,CALF Turnkey,Westmeath,"Garran Geal, Kinnegad, Westmeath (Phase 1)*",24,Tuath Housing Association,,,,,Q4-2020,,,,,,,,,,,,,,
2552,CALF Turnkey,Westmeath,"Ghairdin Beag, Main Street, Rathwire, Killucan, Co. Westmeath (Phase 1)",6,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
2553,CALF Turnkey,Westmeath,"Rahanine, Rochfortbridge, Co Westmeath (Phase 1)*",12,Tuath Housing Association,,,,,,Q2-2021,,,,,,,,,,,,,
2554,CALF Turnkey,Westmeath,"Royal Canal, Ardmore Road, Mullingar, Co. Westmeath (Phase 1)",4,Tuath Housing Association,,,,,,Q1-2021,,,,,,,,,,,,,
2555,CALF Turnkey,Westmeath,"Royal Canal, Ardmore Road, Mullingar, Co. Westmeath (Phase 2)",4,Tuath Housing Association,,,,,Q3-2019,,,,,,,,,,,,,,
2556,CALF Turnkey,Westmeath,"Springfield Cottages, Mullingar, Co. Westmeath (Phase 1)*",13,Clúid Housing,,,,Q2-2021,,,,,,,,,,,,,,,
2557,CALF Turnkey,Westmeath,"The Orchard, Athlone, Co. Westmeath (Phase 1)",8,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
2558,CALF Turnkey,Westmeath,"The Orchard, Athlone, Co. Westmeath (Phase 2)*",14,Tuath Housing Association,,,,,,Q2-2020,,,,,,,,,,,,,
2559,CALF Turnkey,Westmeath,"The Orchard, Athlone, Co. Westmeath (Phase 3)",10,Tuath Housing Association,,,,,,Q2-2020,,,,,,,,,,,,,
2560,SHIP CONSTRUCTION TURNKEY,Wexford,"Madeira Oaks, Wexford",8,*N/A,,,,,,Q3-2017,,,,,,,,,,,,,
2561,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Ballytegan Road, Gorey",8,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
2562,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",11,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2563,SHIP CONSTRUCTION TURNKEY,Wexford,"Rath an Duin, Castlebridge",3,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
2564,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Ballytegan Road, Gorey",2,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
2565,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",10,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
2566,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Ballytegan Road, Gorey",10,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2567,SHIP CONSTRUCTION TURNKEY,Wexford,"Glen Aoibhinn, Ardamine, Gorey",5,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2568,SHIP CONSTRUCTION TURNKEY,Wexford,"Glen Aoibhinn, Ardamine, Gorey",2,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
2569,SHIP CONSTRUCTION TURNKEY,Wexford,"Whitewater Estuary, Ballyhack",3,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
2570,SHIP CONSTRUCTION TURNKEY,Wexford,"Riverchapel Lane, Gorey",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2571,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",4,*N/A,,,,,,Q2-2019,,,,,,,,,,,,,
2572,SHIP CONSTRUCTION TURNKEY,Wexford,"Glen Aoibhinn, Ardamine, Gorey",3,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2573,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",10,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
2574,SHIP CONSTRUCTION TURNKEY,Wexford,"St. Martin's Road, Rosslare Harbour",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2575,SHIP CONSTRUCTION TURNKEY,Wexford,"Clonattin Upper, Gorey",8,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
2576,SHIP CONSTRUCTION TURNKEY,Wexford,"Airhill, Belvedere Rd, Wexford",7,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
2577,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Ballytegan Road, Gorey",2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2578,SHIP CONSTRUCTION TURNKEY,Wexford,"Michael Street, New Ross ",3,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2579,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",14,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
2580,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Ballytegan Road, Gorey",1,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
2581,SHIP CONSTRUCTION TURNKEY,Wexford,"Ballynaglough, Blackwater",4,*N/A,,,,,Q4-2019,,,,,,,,,,,,,,
2582,SHIP CONSTRUCTION TURNKEY,Wexford,"No.'s 64 & 74 Chapelwood, Kilmuckridge",2,*N/A,,,,,,Q1-2020,,,,,,,,,,,,,
2583,SHIP CONSTRUCTION TURNKEY,Wexford,"5 The Break Ayelsbridge, Riverchapel",1,*N/A,,,,,,Q1-2020,,,,,,,,,,,,,
2584,SHIP CONSTRUCTION TURNKEY,Wexford,"Tobar Muire, Creagh Gorey",10,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2585,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",1,*N/A,,,,,,Q1-2020,,,,,,,,,,,,,
2586,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Gorey - Phase 2",4,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2587,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock Hill, Wexford",5,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2588,SHIP CONSTRUCTION TURNKEY,Wexford,"Cluain Beag, Clonard, Wexford",5,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2589,SHIP CONSTRUCTION TURNKEY,Wexford,"Cluain Beag, Clonard, Wexford",6,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2590,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",2,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2591,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard an Bhile, Healysland, New Ross, Co. Wexford",22,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2592,SHIP CONSTRUCTION TURNKEY,Wexford,"Tobar Muire, Creagh Gorey",29,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2593,SHIP CONSTRUCTION TURNKEY,Wexford,"Ballynaglough, Blackwater",12,*N/A,,,,"Stage 4 approved Q1-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2594,SHIP CONSTRUCTION TURNKEY,Wexford,Roxborough Manor,3,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
2595,SHIP CONSTRUCTION TURNKEY,Wexford,Roxborough Manor,3,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
2596,SHIP CONSTRUCTION TURNKEY,Wexford,Roxborough Manor,4,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
2597,SHIP CONSTRUCTION TURNKEY,Wexford,Roxborough Manor,3,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2598,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",2,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
2599,SHIP CONSTRUCTION TURNKEY,Wexford,"Clonard Little, Wexford ",9,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2600,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard an Bhile, Healysland, New Ross, Co. Wexford",21,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2601,SHIP CONSTRUCTION TURNKEY,Wexford,"Cluain Beag, Clonard, Wexford",9,*N/A,,,,"Stage 4 approved Q3-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
2602,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock Hill, Wexford",8,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2603,SHIP CONSTRUCTION,Wexford,"SN Castlemoyle, New Ross",1,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2604,SHIP CONSTRUCTION,Wexford,"Cloghulatagh, Taghmon",18,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
2605,SHIP CONSTRUCTION,Wexford,"Coolcotts, Clonard",7,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
2606,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey",10,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
2607,SHIP CONSTRUCTION,Wexford,Danescastle,10,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
2608,SHIP CONSTRUCTION,Wexford,"Slippery Green, Wexford",10,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
2609,SHIP CONSTRUCTION,Wexford,"Whiterock Hill, Wexford",22,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
2610,SHIP CONSTRUCTION,Wexford,Cois Mara,2,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
2611,SHIP CONSTRUCTION,Wexford,"Killeens, Wexford",40,*N/A,,,,,Q2-2020,,,,,,,,,,,,,,
2612,SHIP CONSTRUCTION,Wexford,"Oilgate, Enniscorthy",2,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
2613,SHIP CONSTRUCTION,Wexford,"Cherryorchard, Enniscorthy",8,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
2614,SHIP CONSTRUCTION,Wexford,"Ross Road, Enniscorthy",1,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
2615,SHIP CONSTRUCTION,Wexford,"Baile Eoghain, Gorey",5,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2616,SHIP CONSTRUCTION,Wexford,"Baile an Trá, Riverchapel (Courtown Ardamine)",10,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
2617,SHIP CONSTRUCTION,Wexford,"Shanna Court, Coolcotts",8,*N/A,,,,,,Q1-2016,,,,,,,,,,,,,
2618,SHIP CONSTRUCTION,Wexford,"Francis Street, Wexford",1,*N/A,,,,,,Q1-2017,,,,,,,,,,,,,
2619,SHIP CONSTRUCTION,Wexford,Commodore Barry,1,*N/A,,,,,,Q2-2016,,,,,,,,,,,,,
2620,SHIP CONSTRUCTION,Wexford,"Glentire, The Ballagh, Enniscorthy",6,*N/A,,,,,Q2-2019,,,,,,,,,,,,,,
2621,SHIP CONSTRUCTION,Wexford,"Rosetown, Rosslare, Co Wexford, Phase 1",23,*N/A,,,,,Q2-2019,,,,,,,,,,,,,,
2622,SHIP CONSTRUCTION,Wexford,"Carley's Bridge, Enniscorthy",17,*N/A,,,,,Q2-2019,,,,,,,,,,,,,,
2623,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey",12,*N/A,"Stage 1 approved Q2-2018, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2624,SHIP CONSTRUCTION,Wexford,"Baile Eoghain, Gorey",4,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
2625,SHIP CONSTRUCTION,Wexford,"Wexford Street, Gorey",30,*N/A,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2626,SHIP CONSTRUCTION,Wexford,"Bullawn, Irishtown, New Ross",3,*N/A,,,,,Q3-2021,,,,,,,,,,,,,,
2627,SHIP CONSTRUCTION,Wexford,"Ballyhine, Barntown",7,*N/A,,"Stage 2 approved Q1-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2628,SHIP CONSTRUCTION,Wexford,"Whiterock Hill, Wexford",22,*N/A,,,"Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
2629,SHIP CONSTRUCTION,Wexford,"Doire Moling estate at Monamolin, Gorey, Co. Wexford",5,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2630,SHIP CONSTRUCTION,Wexford,"20 Francis Street, Wexford",2,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2631,SHIP CONSTRUCTION,Wexford,"Ballygillane Big, Rosslare Harbour, Co. Wexford",5,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2632,SHIP CONSTRUCTION,Wexford,"Grogan’s Road, Wexford Town ",3,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
2633,CAS CONSTRUCTION TURNKEY,Wexford,"Clonattin, Gorey",6,Túath Housing Association Ltd,,,,,,Q2-2021,,,,,,,,,,,,,
2634,CAS CONSTRUCTION,Wexford,Rathangan,7,Rathangan Senior Citizens Housing Association Ltd,,,,,,Q3-2017,,,,,,,,,,,,,
2635,CAS CONSTRUCTION,Wexford,"Wexford Women's Refuge, Maudlintown",12,*N/A,,"Stage 2 approved Q3-2020, full design/tender being prepared.",,,,,,,,,,,,,,,,,
2636,CALF Turnkey,Wexford,"24 Units, Gleann an Ghairdin, Gorey, Co. Wexford (Phase 1)",8,Tuath Housing Association,,,,,,Q3-2020,,,,,,,,,,,,,
2637,CALF Turnkey,Wexford,"24 Units, Gleann an Ghairdin, Gorey, Co. Wexford (Phase 2)",16,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
2638,CALF Turnkey,Wexford,"67 units, Coolcotts, Wexford (Phase 1)*",67,Clúid Housing,,,,,Q3-2020,,,,,,,,,,,,,,
2639,CALF Turnkey,Wexford,"9 Units, Gleann an Ghairdin, Gorey, Co. Wexford (Phase 1)",9,Tuath Housing Association,,,,,,Q2-2021,,,,,,,,,,,,,
2640,CALF Turnkey,Wexford," Ard Uisce, Wexford Town (Phase 1)",5,Tuath Housing Association,,,,,,Q4-2017,,,,,,,,,,,,,
2641,CALF Turnkey,Wexford," Ard Uisce, Whiterock, Wexford  (Phase 1)",1,Tuath Housing Association,,,,,,Q1-2018,,,,,,,,,,,,,
2642,CALF Turnkey,Wexford,"Ard Uisce, Whiterock, Wexford (Phase 1)",6,Tuath Housing Association,,,,,,Q1-2018,,,,,,,,,,,,,
2643,CALF Turnkey,Wexford,"Ard Uisce, Whiterock, Wexford (Phase 1)*",6,Tuath Housing Association,,,,,,Q1-2017,,,,,,,,,,,,,
2644,CALF Turnkey,Wexford,"Ballyboggan, Castlebridge, Co Wexford (Phase 1)",10,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2018,,,,,,,,,,,,,
2645,CALF Turnkey,Wexford,"Clonard, Wexford (Phase 1)*",10,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2019,,,,,,,,,,,,,
2646,CALF Turnkey,Wexford,"Fearach Cnoic, Greenville, Enniscorthy, Co. Wexford (Phase 1)*",10,Clanmil Housing Association Ireland,,,,,Q3-2018,,,,,,,,,,,,,,
2647,CALF Turnkey,Wexford,"Fearach Cnoic, Greenville, The Moyne, Enniscorthy (Phase 1)",34,Oaklee Housing,,,,,,Q4-2018,,,,,,,,,,,,,
2648,CALF Turnkey,Wexford,"Fearach Cnoic, Greenville, The Moyne, Enniscorthy (Phase 2)",6,Oaklee Housing,,,,,,Q2-2019,,,,,,,,,,,,,
2649,CALF Turnkey,Wexford,"Forgelands, Old Forge Road, Milehouse Road, Enniscorthy, Co. Wexford (Phase 1)*",18,Tuath Housing Association,,,,,,Q3-2021,,,,,,,,,,,,,
2650,CALF Turnkey,Wexford,"Fort Road, Ramsfort Park, Gorey, Co. Wexford (Phase 1)*",11,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2020,,,,,,,,,,,,,
2651,CALF Turnkey,Wexford,"Gleann an Ghairdin, Gorey (Phase 1)",9,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
2652,CALF Turnkey,Wexford,"Gleann an Ghairdin, Gorey (Phase 2)",9,Tuath Housing Association,,,,,,Q1-2020,,,,,,,,,,,,,
2653,CALF Turnkey,Wexford,"Greenville, Enniscorthy, Co. Wexford (Phase 1)*",6,Oaklee Housing,,,,,,Q2-2019,,,,,,,,,,,,,
2654,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 1)",7,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2016,,,,,,,,,,,,,
2655,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 2)",11,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2016,,,,,,,,,,,,,
2656,CALF Turnkey,Wexford,"Hunters Green, Gorey (Phase 3)",11,Co - Operative Housing Ireland Society Limited,,,,,,Q1-2017,,,,,,,,,,,,,
